"Bairro;""rpa""",cidade,ano,mes,tipo_servico,prioridade,fonte
"Aflitos;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Afogados;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Agua Fria;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Alto Do Mandu;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Alto Jose Bonifacio;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Alto Jose Do Pinho;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Alto Santa Terezinha;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Apipucos;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Areias;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Arruda;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Barro;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Beberibe;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Boa Viagem;""6""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Boa Vista;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Bomba Do Hemeterio;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Bongi;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Brasilia Teimosa;""6""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Brejo Da Guabiraba;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Brejo De Beberibe;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Cabanga;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Cacote;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Cajueiro;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Campina Do Barreto;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Campo Grande;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Casa Amarela;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Casa Forte;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Caxanga;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Cidade Universitaria;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
