year,month,month_name,station_id,station_name,rainfall_mm,rainy_days,max_daily_mm,extreme_events_50mm,data_source,notes
2015,1,janeiro,open-meteo,Open-Meteo Sao Luis,61.9,25,10.0,0,open-meteo,
2015,2,fevereiro,open-meteo,Open-Meteo Sao Luis,238.5,27,27.8,0,open-meteo,
2015,3,marco,open-meteo,Open-Meteo Sao Luis,395.4,31,109.3,1,open-meteo,
2015,4,abril,open-meteo,Open-Meteo Sao Luis,300.4,30,23.3,0,open-meteo,
2015,5,maio,open-meteo,Open-Meteo Sao Luis,152.8,31,13.6,0,open-meteo,
2015,6,junho,open-meteo,Open-Meteo Sao Luis,122.2,28,18.0,0,open-meteo,
2015,7,julho,open-meteo,Open-Meteo Sao Luis,65.5,23,17.0,0,open-meteo,
2015,8,agosto,open-meteo,Open-Meteo Sao Luis,8.9,14,1.3,0,open-meteo,
2015,9,setembro,open-meteo,Open-Meteo Sao Luis,8.4,16,0.8,0,open-meteo,
2015,10,outubro,open-meteo,Open-Meteo Sao Luis,5.8,11,1.7,0,open-meteo,
2015,11,novembro,open-meteo,Open-Meteo Sao Luis,1.0,3,0.5,0,open-meteo,
2015,12,dezembro,open-meteo,Open-Meteo Sao Luis,31.6,21,6.9,0,open-meteo,
2016,1,janeiro,open-meteo,Open-Meteo Sao Luis,178.8,28,48.8,0,open-meteo,
2016,2,fevereiro,open-meteo,Open-Meteo Sao Luis,186.5,28,24.4,0,open-meteo,
2016,3,marco,open-meteo,Open-Meteo Sao Luis,254.7,31,25.3,0,open-meteo,
2016,4,abril,open-meteo,Open-Meteo Sao Luis,260.9,30,44.8,0,open-meteo,
2016,5,maio,open-meteo,Open-Meteo Sao Luis,117.9,31,22.2,0,open-meteo,
2016,6,junho,open-meteo,Open-Meteo Sao Luis,72.9,30,18.3,0,open-meteo,
2016,7,julho,open-meteo,Open-Meteo Sao Luis,52.2,29,7.2,0,open-meteo,
2016,8,agosto,open-meteo,Open-Meteo Sao Luis,12.1,19,2.0,0,open-meteo,
2016,9,setembro,open-meteo,Open-Meteo Sao Luis,5.5,11,0.8,0,open-meteo,
2016,10,outubro,open-meteo,Open-Meteo Sao Luis,7.4,12,1.1,0,open-meteo,
2016,11,novembro,open-meteo,Open-Meteo Sao Luis,6.8,14,0.9,0,open-meteo,
2016,12,dezembro,open-meteo,Open-Meteo Sao Luis,116.3,23,29.6,0,open-meteo,
2017,1,janeiro,open-meteo,Open-Meteo Sao Luis,280.6,31,49.1,0,open-meteo,
2017,2,fevereiro,open-meteo,Open-Meteo Sao Luis,337.6,27,43.2,0,open-meteo,
2017,3,marco,open-meteo,Open-Meteo Sao Luis,467.4,31,44.5,0,open-meteo,
2017,4,abril,open-meteo,Open-Meteo Sao Luis,278.5,30,24.2,0,open-meteo,
2017,5,maio,open-meteo,Open-Meteo Sao Luis,324.0,30,65.9,1,open-meteo,
2017,6,junho,open-meteo,Open-Meteo Sao Luis,94.0,27,11.4,0,open-meteo,
2017,7,julho,open-meteo,Open-Meteo Sao Luis,62.2,25,18.1,0,open-meteo,
2017,8,agosto,open-meteo,Open-Meteo Sao Luis,74.6,25,13.0,0,open-meteo,
2017,9,setembro,open-meteo,Open-Meteo Sao Luis,27.9,24,3.5,0,open-meteo,
2017,10,outubro,open-meteo,Open-Meteo Sao Luis,53.5,28,4.9,0,open-meteo,
2017,11,novembro,open-meteo,Open-Meteo Sao Luis,29.6,21,5.7,0,open-meteo,
2017,12,dezembro,open-meteo,Open-Meteo Sao Luis,106.5,25,22.3,0,open-meteo,
2018,1,janeiro,open-meteo,Open-Meteo Sao Luis,224.3,30,29.8,0,open-meteo,
2018,2,fevereiro,open-meteo,Open-Meteo Sao Luis,479.9,27,63.5,1,open-meteo,
2018,3,marco,open-meteo,Open-Meteo Sao Luis,332.0,30,75.1,1,open-meteo,
2018,4,abril,open-meteo,Open-Meteo Sao Luis,451.8,30,55.6,1,open-meteo,
2018,5,maio,open-meteo,Open-Meteo Sao Luis,334.4,31,44.1,0,open-meteo,
2018,6,junho,open-meteo,Open-Meteo Sao Luis,145.0,28,21.3,0,open-meteo,
2018,7,julho,open-meteo,Open-Meteo Sao Luis,95.4,30,10.2,0,open-meteo,
2018,8,agosto,open-meteo,Open-Meteo Sao Luis,51.8,31,10.5,0,open-meteo,
2018,9,setembro,open-meteo,Open-Meteo Sao Luis,18.0,24,1.7,0,open-meteo,
2018,10,outubro,open-meteo,Open-Meteo Sao Luis,22.0,24,2.8,0,open-meteo,
2018,11,novembro,open-meteo,Open-Meteo Sao Luis,204.8,22,148.9,1,open-meteo,
2018,12,dezembro,open-meteo,Open-Meteo Sao Luis,249.0,30,40.2,0,open-meteo,
2019,1,janeiro,open-meteo,Open-Meteo Sao Luis,248.5,31,18.4,0,open-meteo,
2019,2,fevereiro,open-meteo,Open-Meteo Sao Luis,435.7,28,46.8,0,open-meteo,
2019,3,marco,open-meteo,Open-Meteo Sao Luis,691.9,31,100.2,2,open-meteo,
2019,4,abril,open-meteo,Open-Meteo Sao Luis,642.9,30,114.3,2,open-meteo,
2019,5,maio,open-meteo,Open-Meteo Sao Luis,326.6,31,57.3,2,open-meteo,
2019,6,junho,open-meteo,Open-Meteo Sao Luis,118.3,28,17.2,0,open-meteo,
2019,7,julho,open-meteo,Open-Meteo Sao Luis,105.7,29,20.9,0,open-meteo,
2019,8,agosto,open-meteo,Open-Meteo Sao Luis,34.3,29,3.1,0,open-meteo,
2019,9,setembro,open-meteo,Open-Meteo Sao Luis,33.3,25,4.9,0,open-meteo,
