year,month,month_name,station_id,station_name,rainfall_mm,rainy_days,max_daily_mm,extreme_events_50mm,data_source,notes,date,rainfall_30d,rainfall_90d,rainfall_180d,rainfall_365d,extreme_events_90d
2015,1,janeiro,open-meteo,Open-Meteo Sao Luis,61.9,25,10.0,0,open-meteo,,2015-01-01,61.9,61.9,61.9,61.9,0
2015,2,fevereiro,open-meteo,Open-Meteo Sao Luis,238.5,27,27.8,0,open-meteo,,2015-02-01,238.5,300.4,300.4,300.4,0
2015,3,marco,open-meteo,Open-Meteo Sao Luis,395.4,31,109.3,1,open-meteo,,2015-03-01,395.4,695.8,695.8,695.8,1
2015,4,abril,open-meteo,Open-Meteo Sao Luis,300.4,30,23.3,0,open-meteo,,2015-04-01,300.4,934.3,996.2,996.2,1
2015,5,maio,open-meteo,Open-Meteo Sao Luis,152.8,31,13.6,0,open-meteo,,2015-05-01,152.8,848.6,1149.0,1149.0,1
2015,6,junho,open-meteo,Open-Meteo Sao Luis,122.2,28,18.0,0,open-meteo,,2015-06-01,122.2,575.4,1271.2,1271.2,0
2015,7,julho,open-meteo,Open-Meteo Sao Luis,65.5,23,17.0,0,open-meteo,,2015-07-01,65.5,340.5,1274.8,1336.7,0
2015,8,agosto,open-meteo,Open-Meteo Sao Luis,8.9,14,1.3,0,open-meteo,,2015-08-01,8.9,196.6,1045.2,1345.6,0
2015,9,setembro,open-meteo,Open-Meteo Sao Luis,8.4,16,0.8,0,open-meteo,,2015-09-01,8.4,82.8,658.2,1354.0,0
2015,10,outubro,open-meteo,Open-Meteo Sao Luis,5.8,11,1.7,0,open-meteo,,2015-10-01,5.8,23.1,363.6,1359.8,0
2015,11,novembro,open-meteo,Open-Meteo Sao Luis,1.0,3,0.5,0,open-meteo,,2015-11-01,1.0,15.2,211.8,1360.8,0
2015,12,dezembro,open-meteo,Open-Meteo Sao Luis,31.6,21,6.9,0,open-meteo,,2015-12-01,31.6,38.4,121.2,1392.4,0
2016,1,janeiro,open-meteo,Open-Meteo Sao Luis,178.8,28,48.8,0,open-meteo,,2016-01-01,178.8,211.4,234.5,1509.3,0
2016,2,fevereiro,open-meteo,Open-Meteo Sao Luis,186.5,28,24.4,0,open-meteo,,2016-02-01,186.5,396.9,412.1,1457.3,0
2016,3,marco,open-meteo,Open-Meteo Sao Luis,254.7,31,25.3,0,open-meteo,,2016-03-01,254.7,620.0,658.4,1316.6,0
2016,4,abril,open-meteo,Open-Meteo Sao Luis,260.9,30,44.8,0,open-meteo,,2016-04-01,260.9,702.1,913.5,1277.1,0
2016,5,maio,open-meteo,Open-Meteo Sao Luis,117.9,31,22.2,0,open-meteo,,2016-05-01,117.9,633.5,1030.4,1242.2,0
2016,6,junho,open-meteo,Open-Meteo Sao Luis,72.9,30,18.3,0,open-meteo,,2016-06-01,72.9,451.7,1071.7,1192.9,0
2016,7,julho,open-meteo,Open-Meteo Sao Luis,52.2,29,7.2,0,open-meteo,,2016-07-01,52.2,243.0,945.1,1179.6,0
2016,8,agosto,open-meteo,Open-Meteo Sao Luis,12.1,19,2.0,0,open-meteo,,2016-08-01,12.1,137.2,770.7,1182.8,0
2016,9,setembro,open-meteo,Open-Meteo Sao Luis,5.5,11,0.8,0,open-meteo,,2016-09-01,5.5,69.8,521.5,1179.9,0
2016,10,outubro,open-meteo,Open-Meteo Sao Luis,7.4,12,1.1,0,open-meteo,,2016-10-01,7.4,25.0,268.0,1181.5,0
2016,11,novembro,open-meteo,Open-Meteo Sao Luis,6.8,14,0.9,0,open-meteo,,2016-11-01,6.8,19.7,156.9,1187.3,0
2016,12,dezembro,open-meteo,Open-Meteo Sao Luis,116.3,23,29.6,0,open-meteo,,2016-12-01,116.3,130.5,200.3,1272.0,0
2017,1,janeiro,open-meteo,Open-Meteo Sao Luis,280.6,31,49.1,0,open-meteo,,2017-01-01,280.6,403.7,428.7,1373.8,0
2017,2,fevereiro,open-meteo,Open-Meteo Sao Luis,337.6,27,43.2,0,open-meteo,,2017-02-01,337.6,734.5,754.2,1524.9,0
2017,3,marco,open-meteo,Open-Meteo Sao Luis,467.4,31,44.5,0,open-meteo,,2017-03-01,467.4,1085.6,1216.1,1737.6,0
2017,4,abril,open-meteo,Open-Meteo Sao Luis,278.5,30,24.2,0,open-meteo,,2017-04-01,278.5,1083.5,1487.2,1755.2,0
